streetAddress,suburb,postcode,bedrooms,price
6 Corymbia Circuit,Barwon Heads,3227,3,"$1,255,000 "
9 La Bella Street,Ocean Grove,3226,4,"$725,000 "
26 Greensted Grove,Roxburgh Park,3064,4,"$670,000 "
80 Calvert Street,Hamlyn Heights,3215,3,"$600,000 "
295 Church Street,Herne Hill,3218,3,"$520,000 "
42 Ridge Drive,Kennett River,3234,3,"$515,000 "
16 Yoorok Drive,Lara,3212,3,"$460,000 "
16 Casey Drive,Berwick,3806,5,"$1,935,000 "
110 Rowlands Road,Barwon Downs,3243,3,"$1,500,000 "
42 Glenbrook Avenue,Clayton,3168,5,"$1,400,000 "
119 Canterbury Jetty Road,Rye,3941,3,"$1,300,000 "
5 Joel Place,Mooroolbark,3138,5,"$990,000 "
98 Yellowgum Boulevard,Sunbury,3429,4,"$920,000 "
6 Albury Court,Croydon North,3136,4,"$885,000 "
37 Bruce Street,Preston,3072,3,"$855,000 "
27 Torowatta Place,Burnside,3023,5,"$855,000 "
26 Platts Road,Buln Buln,3821,4,"$835,000 "
17 Rim Cross Drive,Avondale Heights,3034,3,"$735,000 "
38 Montreal Circuit,Craigieburn,3064,5,"$730,000 "
38 Montreal CCT,Craigieburn,3064,5,"$730,000 "
5 Brooklyn Court,Brown Hill,3350,4,"$670,000 "
17 MILSWYN STREET,Craigieburn,3064,4,"$658,000 "
25 Eleanor Drive,Hoppers Crossing,3029,3,"$650,545 "
5  Ayers Court,Taylors Lakes,3038,4,"$650,000 "
13 Simpson Court,Hallam,3803,4,"$647,000 "
25 Overnewton Way,Wollert,3750,4,"$643,000 "
32 River Street,Little River,3211,4,"$627,500 "
62 Signature Boulevard,Sanctuary Lakes,3030,3,"$625,000 "
9 Homebush Drive,Junortoun,3551,6,"$615,000 "
9 Reading Close,Roxburgh Park,3064,3,"$615,000 "
11 Stephen Street,Hastings,3915,3,"$600,000 "
211/10 Porter St,Prahran,3181,2,"$600,000 "
13 Gallivant Drive,Doreen,3754,4,"$580,000 "
85 Hamilton Street,Craigieburn,3064,0,"$577,500 "
12 Caitlin Street,Lara,3212,4,"$577,000 "
25 Michael Court,Grovedale,3216,3,"$570,000 "
20 Walpole Avenue,Belmont,3216,3,"$550,000 "
6 Miller Street,Officer,3809,3,"$550,000 "
124 Wilsons Road,Newcomb,3219,3,"$525,000 "
39 Carney Street,Nar Nar Goon,3812,3,"$520,000 "
4 Tanner Mews,Point Cook,3030,3,"$497,000 "
33 CORNWELL CRESCENT,Cranbourne East,3977,3,"$493,500 "
