streetAddress,suburb,postcode,bedrooms,propertyType,price
6 Corymbia Circuit,Barwon Heads,3227,3,house,"$1,255,000 "
9 La Bella Street,Ocean Grove,3226,4,house,"$725,000 "
26 Greensted Grove,Roxburgh Park,3064,4,house,"$670,000 "
80 Calvert Street,Hamlyn Heights,3215,3,house,"$600,000 "
295 Church Street,Herne Hill,3218,3,house,"$520,000 "
42 Ridge Drive,Kennett River,3234,3,house,"$515,000 "
16 Yoorok Drive,Lara,3212,3,house,"$460,000 "
16 Casey Drive,Berwick,3806,5,house,"$1,935,000 "
110 Rowlands Road,Barwon Downs,3243,3,farmlet,"$1,500,000 "
42 Glenbrook Avenue,Clayton,3168,5,house,"$1,400,000 "
119 Canterbury Jetty Road,Rye,3941,3,house,"$1,300,000 "
5 Joel Place,Mooroolbark,3138,5,house,"$990,000 "
98 Yellowgum Boulevard,Sunbury,3429,4,house,"$920,000 "
6 Albury Court,Croydon North,3136,4,house,"$885,000 "
37 Bruce Street,Preston,3072,3,house,"$855,000 "
27 Torowatta Place,Burnside,3023,5,house,"$855,000 "
26 Platts Road,Buln Buln,3821,4,house,"$835,000 "
17 Rim Cross Drive,Avondale Heights,3034,3,house,"$735,000 "
38 Montreal Circuit,Craigieburn,3064,5,house,"$730,000 "
38 Montreal CCT,Craigieburn,3064,5,house,"$730,000 "
5 Brooklyn Court,Brown Hill,3350,4,house,"$670,000 "
17 MILSWYN STREET,Craigieburn,3064,4,house,"$658,000 "
25 Eleanor Drive,Hoppers Crossing,3029,3,house,"$650,545 "
5  Ayers Court,Taylors Lakes,3029,4,house,"$650,000 "
13 Simpson Court,Hallam,3803,4,house,"$647,000 "
25 Overnewton Way,Wollert,3750,4,house,"$643,000 "
32 River Street,Little River,3211,4,house,"$627,500 "
62 Signature Boulevard,Sanctuary Lakes,3030,3,house,"$625,000 "
9 Homebush Drive,Junortoun,3551,6,house,"$615,000 "
9 Reading Close,Roxburgh Park,3064,3,house,"$615,000 "
11 Stephen Street,Hastings,3915,3,house,"$600,000 "
211/10 Porter St,Prahran,3181,2,apartment,"$600,000 "
13 Gallivant Drive,Doreen,3754,4,house,"$580,000 "
85 Hamilton Street,Craigieburn,3064,0,residential land,"$577,500 "
12 Caitlin Street,Lara,3212,4,house,"$577,000 "
25 Michael Court,Grovedale,3216,3,house,"$570,000 "
20 Walpole Avenue,Belmont,3216,3,house,"$550,000 "
6 Miller Street,Officer,3809,3,house,"$550,000 "
124 Wilsons Road,Newcomb,3219,3,house,"$525,000 "
39 Carney Street,Nar Nar Goon,3812,3,house,"$520,000 "
4 Tanner Mews,Point Cook,3030,3,house,"$497,000 "
33 CORNWELL CRESCENT,Cranbourne East,3977,3,house,"$493,500 "
5/37 Elmhurst Road,Bayswater North,3153,2,unit,"$485,000 "
216 King Street,Bendigo,3550,3,house,"$482,000 "
36 Dublin Drive,Grovedale,3216,3,house,"$480,000 "
5 Kent Place,Strathfieldsaye,3551,4,house,"$472,000 "
9 Nhill Court,Dallas,3047,3,house,"$466,000 "
1 St Leger Place,Epping,3076,3,house,"$455,000 "
15 Hemlock Court,Baranduda,3691,4,house,"$447,500 "
329 Normanby Street,Warragul,3820,3,house,"$410,000 "
5 Caleb Close,Golden Square,3555,3,house,"$410,000 "
120 Crossen Street,Echuca,3564,4,house,"$401,000 "
82 Bacchus Marsh Road,Corio,3214,3,house,"$398,000 "
6/143 Ahern Road,Pakenham,3810,3,unit,"$390,000 "
4 Victory Avenue,Alfredton,3350,3,house,"$380,000 "
6 Arbor Place,White Hills,3550,3,house,"$380,000 "
40 Edgevale Way,Tarneit,3029,2,house,"$380,000 "
2/11 Corang Avenue,Grovedale,3216,2,unit,"$379,000 "
103/1 High Street,Preston,3072,1,apartment,"$350,000 "
4 Alouette Court,Whittington,3219,3,house,"$350,000 "
6/16 Wallace Street,Brunswick West,3055,1,apartment,"$330,000 "
9 Nader Close,Redan,3350,2,townhouse,"$305,000 "
5/55-57 Barries Road,Melton,3337,3,unit,"$290,000 "
2/18 Breakwater Road,Thomson,3219,2,unit,"$275,000 "
34 Hill Street,Daylesford,3460,4,house,"$790,000 "
54 SHEARWATER Drive,Pakenham,3810,3,house,"$460,000 "
11 Decker Street,Blackwood,3458,2,house,"$376,000 "
2 Maggie Street,Yarraville,3013,3,house,"$1,530,000 "
1/15 Sussex Street,Brighton,3186,3,unit,Contact agent
11 Palm Court,Frankston,3199,3,house,"$1,400,000 "
9/113-115 Banksia Street,Eaglemont,3084,3,townhouse,"$1,265,000 "
5 Tyrone Court,Wheelers Hill,3150,4,house,"$1,235,000 "
15 Orchid Court,Gowanbrae,3043,4,house,"$1,067,500 "
43 Burn Nar Look Drive,Burwood,3125,4,house,"$900,000 "
28 Corio Street,Belmont,3216,4,house,"$780,000 "
36 Sunnyvale Crescent,Keysborough,3173,3,house,"$678,000 "
6 Allessi Avenue,Wollert,3750,4,house,"$632,500 "
6 Shoubra Court,Highton,3216,4,house,"$630,000 "
2 Marcella Ave,Dandenong North,3175,3,house,"$605,000 "
38/352 Canterbury Road,St Kilda,3182,2,apartment,"$603,500 "
22 Frognal Drive,Noble Park North,3174,3,house,"$600,000 "
3 Gunther Way,Wollert,3750,4,house,"$575,000 "
1 Mackey Street,Lalor,3075,2,house,"$550,000 "
7 Weeroona Avenue,Hamlyn Heights,3215,3,house,"$540,000 "
20 Sixth Avenue,Rosebud,3939,3,house,"$530,000 "
1/35 Finchley Avenue,Glenroy,3046,3,unit,"$500,600 "
210/87-89 Raleigh Street,Essendon,3040,2,apartment,"$487,000 "
12/17-21 Cobaw Circuit,Caroline Springs,3023,3,townhouse,"$460,000 "
1/39 Junction Street,Newington,3350,2,house,"$445,000 "
22 Macarthur Way,Mickleham,3064,3,house,"$430,000 "
8 Govett  Street,Broadford,3658,3,house,"$400,000 "
2 Ware Street,Lara,3212,4,house,"$386,000 "
22 & 22A Herriot Street,Heathcote,3523,3,house,"$330,000 "
38 Yallourn Street,Ardeer,3022,3,house,"$1,453,000 "
236 Latrobe Terrace,Geelong West,3218,4,house,"$1,200,000 "
56 Patons Road,Macclesfield,3782,4,house,"$1,100,000 "
13 Empire Drive,Mooroolbark,3138,4,house,"$1,055,000 "
82 Pilgrim Street,Seddon,3011,3,house,"$1,000,000 "
9 Cowies Road,Drysdale,3222,5,house,"$900,000 "
47 Bendigo Street,Richmond,3121,2,townhouse,"$873,000 "
10 Devira Court,Rowville,3178,4,house,"$865,000 "
23-25 Olney Street,Winchelsea,3241,4,acreage/semi-rural,"$850,000 "
35 Tutegong Road,Winchelsea,3241,4,acreage/semi-rural,"$810,000 "
4/70 Essex Road,Surrey Hills,3127,2,villa,"$805,000 "
1/26 Kororoit Creek Road,Williamstown,3016,3,house,"$800,000 "
18 Beaurepaire Drive,Point Cook,3030,4,house,"$765,000 "
17 Banjo Paterson Drive,Pakenham,3810,5,house,"$750,000 "
14 Carrington Place,Berwick,3806,4,house,"$750,000 "
7 Iris Court,Mooroolbark,3138,4,house,"$720,000 "
3 The Nook,Ferntree Gully,3156,3,house,"$710,000 "
26 Erskine Ridge,Mooroolbark,3138,3,house,"$697,000 "
70 Blackmore Road,Woodend,3442,3,house,"$693,000 "
16A Starcross Avenue,Croydon,3136,3,house,"$680,000 "
140 Mollison Street,Malmsbury,3446,3,house,"$671,000 "
55 Symonds Street,Yarra Glen,3775,3,house,"$670,000 "
17 Hawkesbury Street,Berwick,3806,4,house,"$670,000 "
23 Grierson Drive,Kilsyth,3137,3,house,"$650,000 "
9 Meadow Court,Strathfieldsaye,3551,4,house,"$630,000 "
1 Colonial Court,Roxburgh Park,3064,4,house,"$625,000 "
89 Harmony Drive,Tarneit,3029,4,house,"$617,000 "
97 Fountain Drive,Narre Warren,3805,3,house,"$605,000 "
15 Matthew Flinders Avenue,Endeavour Hills,3802,3,house,"$600,000 "
11 Dustin Court,Sydenham,3037,3,house,"$600,000 "
323 Wild Cherry Road,Lockwood South,3551,4,acreage/semi-rural,"$585,000 "
47 Reigate Road,Highton,3216,3,house,"$560,000 "
12 Blackwood Place,Rosebud,3939,3,unit,"$540,000 "
16 Saltbreeze Boulevard,Armstrong Creek,3217,4,house,"$540,000 "
17 Yellow Avenue,Lara,3212,4,house,"$530,000 "
5 Beachside Crescent,Point Cook,3030,4,house,"$528,500 "
70 Kirby Street,Reservoir,3073,3,house,"$525,000 "
27 Bladen Street,Warragul,3820,4,house,"$524,000 "
2/56 Hewish Road,Croydon,3136,2,unit,"$522,000 "
18 Fleuve Rise,Clyde North,3978,3,house,"$522,000 "
