streetAddress,suburb,postcode,bedrooms,bathrooms,propertyType,price,dateSold
6 Corymbia Circuit,Barwon Heads,3227,3,2,house,"$1,255,000 ",11/6/2018
9 La Bella Street,Ocean Grove,3226,4,2,house,"$725,000 ",11/6/2018
26 Greensted Grove,Roxburgh Park,3064,4,2,house,"$670,000 ",11/6/2018
80 Calvert Street,Hamlyn Heights,3215,3,2,house,"$600,000 ",11/6/2018
295 Church Street,Herne Hill,3218,3,1,house,"$520,000 ",11/6/2018
42 Ridge Drive,Kennett River,3234,3,2,house,"$515,000 ",11/6/2018
16 Yoorok Drive,Lara,3212,3,1,house,"$460,000 ",11/6/2018
16 Casey Drive,Berwick,3806,5,4,house,"$1,935,000 ",11/5/2018
110 Rowlands Road,Barwon Downs,3243,3,1,farmlet,"$1,500,000 ",11/5/2018
42 Glenbrook Avenue,Clayton,3168,5,2,house,"$1,400,000 ",11/5/2018
119 Canterbury Jetty Road,Rye,3941,3,3,house,"$1,300,000 ",11/5/2018
5 Joel Place,Mooroolbark,3138,5,2,house,"$990,000 ",11/5/2018
98 Yellowgum Boulevard,Sunbury,3429,4,3,house,"$920,000 ",11/5/2018
6 Albury Court,Croydon North,3136,4,2,house,"$885,000 ",11/5/2018
37 Bruce Street,Preston,3072,3,1,house,"$855,000 ",11/5/2018
27 Torowatta Place,Burnside,3023,5,3,house,"$855,000 ",11/5/2018
26 Platts Road,Buln Buln,3821,4,2,house,"$835,000 ",11/5/2018
17 Rim Cross Drive,Avondale Heights,3034,3,2,house,"$735,000 ",11/5/2018
38 Montreal Circuit,Craigieburn,3064,5,2,house,"$730,000 ",11/5/2018
38 Montreal CCT,Craigieburn,3064,5,2,house,"$730,000 ",11/5/2018
5 Brooklyn Court,Brown Hill,3350,4,2,house,"$670,000 ",11/5/2018
17 MILSWYN STREET,Craigieburn,3064,4,2,house,"$658,000 ",11/5/2018
25 Eleanor Drive,Hoppers Crossing,3029,3,2,house,"$650,545 ",11/5/2018
5  Ayers Court,Taylors Lakes,3038,4,2,house,"$650,000 ",11/5/2018
13 Simpson Court,Hallam,3803,4,2,house,"$647,000 ",11/5/2018
25 Overnewton Way,Wollert,3750,4,2,house,"$643,000 ",11/5/2018
32 River Street,Little River,3211,4,3,house,"$627,500 ",11/5/2018
62 Signature Boulevard,Sanctuary Lakes,3030,3,2,house,"$625,000 ",11/5/2018
9 Homebush Drive,Junortoun,3551,6,2,house,"$615,000 ",11/5/2018
9 Reading Close,Roxburgh Park,3064,3,2,house,"$615,000 ",11/5/2018
11 Stephen Street,Hastings,3915,3,2,house,"$600,000 ",11/5/2018
211/10 Porter St,Prahran,3181,2,2,apartment,"$600,000 ",11/5/2018
13 Gallivant Drive,Doreen,3754,4,2,house,"$580,000 ",11/5/2018
85 Hamilton Street,Craigieburn,3064,0,0,residential land,"$577,500 ",11/5/2018
12 Caitlin Street,Lara,3212,4,2,house,"$577,000 ",11/5/2018
25 Michael Court,Grovedale,3216,3,2,house,"$570,000 ",11/5/2018
20 Walpole Avenue,Belmont,3216,3,2,house,"$550,000 ",11/5/2018
6 Miller Street,Officer,3809,3,2,house,"$550,000 ",11/5/2018
124 Wilsons Road,Newcomb,3219,3,1,house,"$525,000 ",11/5/2018
39 Carney Street,Nar Nar Goon,3812,3,1,house,"$520,000 ",11/5/2018
4 Tanner Mews,Point Cook,3030,3,1,house,"$497,000 ",11/5/2018
33 CORNWELL CRESCENT,Cranbourne East,3977,3,2,house,"$493,500 ",11/5/2018
5/37 Elmhurst Road,Bayswater North,3153,2,1,unit,"$485,000 ",11/5/2018
216 King Street,Bendigo,3550,3,2,house,"$482,000 ",11/5/2018
36 Dublin Drive,Grovedale,3216,3,2,house,"$480,000 ",11/5/2018
5 Kent Place,Strathfieldsaye,3551,4,2,house,"$472,000 ",11/5/2018
9 Nhill Court,Dallas,3047,3,1,house,"$466,000 ",11/5/2018
1 St Leger Place,Epping,3076,3,1,house,"$455,000 ",11/5/2018
15 Hemlock Court,Baranduda,3691,4,2,house,"$447,500 ",11/5/2018
329 Normanby Street,Warragul,3820,3,1,house,"$410,000 ",11/5/2018
5 Caleb Close,Golden Square,3555,3,2,house,"$410,000 ",11/5/2018
120 Crossen Street,Echuca,3564,4,2,house,"$401,000 ",11/5/2018
82 Bacchus Marsh Road,Corio,3214,3,1,house,"$398,000 ",11/5/2018
6/143 Ahern Road,Pakenham,3810,3,2,unit,"$390,000 ",11/5/2018
4 Victory Avenue,Alfredton,3350,3,2,house,"$380,000 ",11/5/2018
6 Arbor Place,White Hills,3550,3,2,house,"$380,000 ",11/5/2018
40 Edgevale Way,Tarneit,3029,2,1,house,"$380,000 ",11/5/2018
2/11 Corang Avenue,Grovedale,3216,2,1,unit,"$379,000 ",11/5/2018
103/1 High Street,Preston,3072,1,1,apartment,"$350,000 ",11/5/2018
4 Alouette Court,Whittington,3219,3,1,house,"$350,000 ",11/5/2018
6/16 Wallace Street,Brunswick West,3055,1,1,apartment,"$330,000 ",11/5/2018
